,Unnamed: 0,Unnamed: 0.1,country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,casesPerMil,deathsPerMil,totalTests,testsPerMil,population,alpha2,latitude,longitude
58,58,64,Ghana,35142.0,0.0,175.0,0.0,31286.0,3681.0,8.0,1129.0,6.0,382752.0,12300.0,31119277.0,RS,8.0300284,-1.0800271
59,59,65,Switzerland,34802.0,0.0,1979.0,0.0,31100.0,1723.0,20.0,4019.0,229.0,777631.0,89800.0,8659571.0,,46.7985624,8.2319736
60,60,66,Japan,31901.0,0.0,1001.0,0.0,23507.0,7393.0,81.0,252.0,8.0,765346.0,6053.0,126444285.0,UZ,36.5748441,139.2394179
61,61,67,Azerbaijan,31221.0,0.0,438.0,0.0,24495.0,6288.0,66.0,3077.0,43.0,708632.0,69842.0,10146248.0,MA,40.3936294,47.7872508
62,62,68,Algeria,29229.0,0.0,1186.0,0.0,19592.0,8451.0,70.0,666.0,27.0,0.0,0.0,43908748.0,AT,28.0000272,2.9999825
63,63,69,Ireland,25942.0,0.0,1764.0,0.0,23364.0,814.0,4.0,5249.0,357.0,624615.0,126389.0,4941995.0,NP,52.865196,-7.9794599
64,64,70,Serbia,24892.0,0.0,558.0,0.0,14047.0,10287.0,143.0,2850.0,64.0,650744.0,74503.0,8734430.0,KE,44.1534121,20.55144
65,65,71,Moldova,23947.0,0.0,762.0,3.0,17040.0,6145.0,362.0,5937.0,189.0,128076.0,31756.0,4033187.0,CM,47.2879608,28.5670941
66,66,73,Uzbekistan,22872.0,287.0,132.0,1.0,12937.0,9803.0,138.0,683.0,4.0,1377915.0,41125.0,33505420.0,,41.32373,63.9528098
67,67,74,Morocco,22213.0,0.0,334.0,0.0,17125.0,4754.0,31.0,601.0,9.0,1210035.0,32753.0,36943799.0,CR,31.1728205,-7.3362482
68,68,75,Austria,20955.0,105.0,718.0,2.0,18628.0,1609.0,18.0,2326.0,80.0,880036.0,97668.0,9010456.0,,47.2000338,13.199959
69,69,76,Nepal,19273.0,0.0,49.0,0.0,14021.0,5203.0,0.0,661.0,2.0,670746.0,22990.0,29175017.0,,28.1083929,84.0917139
70,70,77,Kenya,19125.0,0.0,311.0,0.0,8021.0,10793.0,44.0,355.0,6.0,289759.0,5380.0,53855211.0,SV,1.4419683,38.4313975
71,71,78,Australia,15302.0,367.0,167.0,6.0,9311.0,5824.0,50.0,600.0,7.0,4026554.0,157775.0,25520783.0,AU,-24.7761086,134.755
72,72,79,Ethiopia,15200.0,653.0,239.0,11.0,6526.0,8435.0,66.0,132.0,2.0,395851.0,3438.0,115145696.0,ET,10.2116702,38.6521203
73,73,80,Venezuela,17158.0,0.0,156.0,0.0,10421.0,6581.0,25.0,604.0,5.0,1521688.0,53525.0,28429253.0,,8.0018709,-66.1109318
74,74,81,Costa Rica,16800.0,0.0,133.0,0.0,4050.0,12617.0,75.0,3296.0,26.0,84815.0,16638.0,5097714.0,DK,10.2735633,-84.0739102
75,75,82,Australia,16298.0,716.0,189.0,13.0,10619.0,5490.0,39.0,639.0,7.0,4153568.0,162742.0,25522399.0,SD,-24.7761086,134.755
76,76,83,El Salvador,16230.0,389.0,439.0,9.0,8206.0,7585.0,503.0,2501.0,68.0,236501.0,36448.0,6488800.0,,13.8000382,-88.9140683
77,77,84,Czechia,16093.0,0.0,374.0,0.0,11429.0,4290.0,16.0,1503.0,35.0,675755.0,63092.0,10710586.0,BA,49.8167003,15.4749544
